"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-04",97.44019,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-05",97.38943,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-06",97.23134,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-07",97.17949,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-08",97.25642,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-09",97.3767,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-10",97.39501,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-11",97.39222,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1993-12",97.53206,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-01",97.78257,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-02",98.12011,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-03",98.5289,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-04",99.03854,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-05",99.5965,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-06",100.0899,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-07",100.4439,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-08",100.7534,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-09",101.0228,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-10",101.1693,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-11",101.1907,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1994-12",101.1441,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-01",101.0935,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-02",100.9685,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-03",100.8335,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-04",100.7634,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-05",100.7591,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-06",100.7554,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-07",100.6877,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-08",100.5583,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-09",100.3791,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-10",100.2069,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-11",100.0419,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1995-12",99.84316,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-01",99.66249,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-02",99.46812,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-03",99.29404,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-04",99.09068,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-05",98.96133,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-06",98.89685,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-07",98.8736,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-08",98.91801,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-09",98.97354,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-10",99.0438,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-11",99.13699,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1996-12",99.28946,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-01",99.44119,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-02",99.4397,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-03",99.38834,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-04",99.33521,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-05",99.35587,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-06",99.51259,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-07",99.77124,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-08",100.0634,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-09",100.3401,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-10",100.5613,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-11",100.7313,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1997-12",100.8344,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-01",100.9457,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-02",101.0967,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-03",101.2272,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-04",101.2522,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-05",101.2758,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-06",101.3471,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-07",101.4995,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-08",101.5851,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-09",101.7169,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-10",101.9322,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-11",102.1243,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1998-12",102.2328,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-01",102.2706,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-02",102.184,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-03",101.9401,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-04",101.6756,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-05",101.4724,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-06",101.4027,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-07",101.4203,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-08",101.4921,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-09",101.6435,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-10",101.8867,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-11",102.1001,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","1999-12",102.2852,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.4474,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.5672,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.6561,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.7,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.6638,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.5413,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.4226,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.2416,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-09",101.9887,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.9224,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-11",102.0103,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2000-12",102.1199,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-01",102.1496,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-02",102.107,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-03",102.0473,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-04",101.929,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-05",101.7355,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-06",101.5,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-07",101.2491,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-08",101.0191,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.8262,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.6456,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.5425,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.5714,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.6288,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.6747,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.6749,
"EA19","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.6176,
